Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,High Meaning
55,Control Engineering,Bachelors,"$69,700","$122,800",61%
56,Pharmacology,Bachelors,"$57,700","$122,700",-
57,Business Analysis,Bachelors,"$63,200","$122,300",46%
58,Aeronautical Science & Engineering,Bachelors,"$56,000","$122,200",50%
59,Metallurgical Engineering,Bachelors,"$81,800","$122,200",61%
60,Engineering Science,Bachelors,"$67,900","$122,100",45%
61,Applied Mathematics,Bachelors,"$68,300","$122,000",40%
62,Chemical & Biomolecular Engineering,Bachelors,"$76,800","$121,900",48%
63,Materials Science,Bachelors,"$67,100","$121,800",-
64,Engineering,Bachelors,"$69,900","$121,700",59%
65,Ocean Engineering (OE),Bachelors,"$69,400","$121,400",51%
66,Bioengineering (BioE),Bachelors,"$70,900","$121,300",67%
67,Aeronautical/Aerospace Engineering Technology,Bachelors,"$76,900","$121,200",53%
68,Integrated Science & Technology,Bachelors,"$65,200","$121,100",56%
69,Operations Management & Information Systems,Bachelors,"$66,100","$120,900",38%
70,Software Engineering,Bachelors,"$75,000","$120,000",43%
71,Physics,Bachelors,"$65,900","$119,700",48%
72,Quantitative Economics,Bachelors,"$65,000","$119,600",43%
73,Computer & Information Science,Bachelors,"$63,600","$119,500",55%
74,Geophysics,Bachelors,"$58,000","$119,000",47%
75,Accounting & Economics,Bachelors,"$65,900","$118,900",44%
76,Physician Assistant Studies,Bachelors,"$95,900","$118,500",84%
77,Mining Engineering,Bachelors,"$78,800","$118,300",64%
78,Construction Engineering Management,Bachelors,"$68,800","$118,200",57%
79,Mechanical Engineering (ME),Bachelors,"$71,000","$117,600",50%
80,Materials Science & Engineering,Bachelors,"$72,700","$117,500",47%
81,Engineering Mechanics,Bachelors,"$75,500","$117,400",-
82,Industrial Engineering (IE),Bachelors,"$71,900","$117,400",44%
83,International Business & Finance,Bachelors,"$61,400","$117,400",31%
84,Accounting & Computer Systems,Bachelors,"$63,000","$117,300",37%
85,Business & Information Technology (IT),Bachelors,"$60,100","$116,900",44%
86,Applied Physics,Bachelors,"$67,300","$116,500",52%
87,International Economics,Bachelors,"$58,700","$116,300",48%
88,Business & Economics,Bachelors,"$59,600","$116,200",46%
89,Ceramic Engineering,Bachelors,"$69,200","$115,700",-
90,Economics,Bachelors,"$62,000","$115,700",41%
91,Pharmaceutical Sciences (PS),Bachelors,"$52,800","$115,700",69%
92,Telecommunications Engineering,Bachelors,"$66,400","$115,400",47%
93,Information & Decision Sciences,Bachelors,"$65,200","$115,200",33%
94,Materials Engineering,Bachelors,"$72,300","$115,200",58%
95,Paper Science,Bachelors,"$77,000","$115,200",39%
96,Asian Studies,Bachelors,"$47,700","$115,100",41%
97,Structural Engineering (SE),Bachelors,"$67,800","$115,100",66%
98,Industrial Distribution,Bachelors,"$63,600","$115,000",48%
99,Management Information Systems (MIS),Bachelors,"$65,000","$114,100",42%
100,Electronics Engineering,Bachelors,"$69,600","$113,900",66%
101,Finance & Economics,Bachelors,"$62,600","$113,900",42%
102,Medical Science,Bachelors,"$52,000","$113,800",-
103,Japanese Studies,Bachelors,"$51,500","$113,800",21%
104,Automotive Engineering,Bachelors,"$67,300","$113,800",48%
105,Information Management,Bachelors,"$64,300","$112,800",38%
106,Management Science,Bachelors,"$64,600","$112,700",43%
107,Mechanical,Bachelors,"$70,200","$112,700",54%
108,Construction Engineering,Bachelors,"$67,300","$112,500",59%
109,Finance & Investments,Bachelors,"$64,100","$112,400",44%
110,Mathematics & Statistics,Bachelors,"$63,100","$112,400",43%
111,Information Systems Management,Bachelors,"$59,200","$112,300",49%
112,Construction Project Management,Bachelors,"$61,100","$112,200",58%
113,Engineering Management,Bachelors,"$69,000","$112,200",57%
114,Packaging Science,Bachelors,"$70,000","$112,200",35%
115,Industrial Engineering & Management,Bachelors,"$68,300","$112,000",55%
116,Engineering Physics,Bachelors,"$70,500","$111,800",50%
117,Energy Management,Bachelors,"$72,300","$111,700",71%
118,Aeronautical Science,Bachelors,"$57,700","$111,600",57%
119,Government,Bachelors,"$55,100","$111,200",47%
120,Software Applications & Programming,Bachelors,"$59,300","$110,800",45%
121,Astrophysics,Bachelors,"$69,300","$110,700",64%
122,Bioenvironmental Science,Bachelors,"$47,700","$110,500",-
123,Japanese Language,Bachelors,"$53,300","$110,300",42%
124,Business Economics,Bachelors,"$58,400","$110,200",43%
125,Finance & Real Estate,Bachelors,"$63,000","$110,200",44%
126,Manufacturing Engineering,Bachelors,"$69,300","$110,000",47%
127,Atmospheric Science,Bachelors,"$48,700","$109,900",55%
128,Cybersecurity,Bachelors,"$65,600","$109,800",55%
129,Information Security & Assurance,Bachelors,"$61,400","$109,300",47%
130,Medicine,Bachelors,"$60,600","$109,200",92%
131,Civil Engineering (CE),Bachelors,"$65,000","$109,000",65%
132,Environmental Health & Safety Management,Bachelors,"$61,100","$108,800",61%
133,Mathematics,Bachelors,"$63,500","$108,700",45%
134,Applied Economics,Bachelors,"$61,400","$108,600",38%
135,Construction Science,Bachelors,"$67,400","$108,500",63%
136,Political Communication,Bachelors,"$48,800","$108,500",55%
137,Marketing & International Business,Bachelors,"$52,500","$108,400",34%
138,Software Development,Bachelors,"$65,500","$108,400",45%
139,Biochemistry & Molecular Biology,Bachelors,"$53,900","$108,100",71%
140,Computing,Bachelors,"$63,500","$108,000",53%
141,Construction Management,Bachelors,"$63,200","$108,000",58%
142,Accounting & Taxation,Bachelors,"$55,600","$107,800",41%
143,Building Construction (BC),Bachelors,"$67,200","$107,800",52%
144,International & Comparative Politics,Bachelors,"$45,700","$107,800",53%
145,Civil & Environmental Engineering,Bachelors,"$65,300","$107,500",67%
146,Business Information Systems,Bachelors,"$65,000","$107,400",43%
147,Financial Economics,Bachelors,"$63,300","$107,200",41%
148,Sales & Business Marketing,Bachelors,"$55,900","$107,200",51%
149,Plastics Engineering,Bachelors,"$68,400","$107,100",58%
150,Information Technology Management,Bachelors,"$63,400","$107,000",48%
151,Polymer Science & Engineering,Bachelors,"$74,500","$106,900",-
152,Informatics,Bachelors,"$70,300","$106,800",42%
153,Computer Management Information Systems (CMIS),Bachelors,"$55,700","$106,600",47%
154,Information Systems (IS),Bachelors,"$63,900","$106,600",44%
155,Agricultural Economics,Bachelors,"$55,600","$106,300",58%
156,Data Processing,Bachelors,"$65,600","$106,200",45%
157,European Studies,Bachelors,"$47,500","$106,100",46%
158,Biosystems Engineering,Bachelors,"$64,700","$106,000",74%
159,Nuclear Engineering Technology (NET),Bachelors,"$83,500","$106,000",62%
160,Economics & Political Science,Bachelors,"$57,100","$105,700",47%
161,Global & International Studies,Bachelors,"$50,000","$105,700",46%
162,Organic Chemistry,Bachelors,"$44,500","$105,600",-
163,Industrial Hygiene,Bachelors,"$58,600","$105,500",55%
164,Safety Science,Bachelors,"$62,400","$105,500",-
165,Commerce,Bachelors,"$66,800","$105,400",40%
166,Rhetoric,Bachelors,"$51,600","$105,400",44%
167,Business Computer Information Systems (BCIS),Bachelors,"$64,000","$105,300",40%
168,Finance,Bachelors,"$60,200","$105,200",42%
169,Plastics Engineering Technology,Bachelors,"$66,900","$105,100",28%
170,Molecular Biology,Bachelors,"$54,100","$105,000",67%
171,Environmental Engineering,Bachelors,"$62,600","$104,800",62%
172,International Management,Bachelors,"$54,100","$104,800",51%
173,Computer Information Systems,Bachelors,"$59,400","$104,700",42%
174,Corporate Finance,Bachelors,"$63,600","$104,300",43%
175,Genetics,Bachelors,"$52,200","$104,100",72%
176,International Business,Bachelors,"$55,300","$104,100",39%
177,Agricultural Engineering (AE),Bachelors,"$63,100","$104,000",63%
178,Consumer Economics,Bachelors,"$53,700","$103,800",40%
179,Finance & Marketing,Bachelors,"$56,800","$103,700",46%
180,Computer Information Systems (CIS),Bachelors,"$60,500","$103,500",47%
181,Business Finance,Bachelors,"$57,200","$103,300",42%
182,Psychobiology,Bachelors,"$49,600","$103,100",65%
183,Strategic Management,Bachelors,"$66,200","$103,100",47%
184,Construction Trades,Bachelors,"$61,900","$103,100",48%
185,Operations Management (OM),Bachelors,"$61,500","$103,000",45%
186,Entrepreneurship & Leadership,Bachelors,"$57,100","$102,900",43%
187,Electrical Engineering Technology (EET),Bachelors,"$66,300","$102,800",47%
188,Computer Science & Information Technology,Bachelors,"$66,000","$102,700",50%
189,Food Marketing,Bachelors,"$56,300","$102,700",24%
190,International Marketing,Bachelors,"$59,000","$102,600",22%
191,Network Engineering,Bachelors,"$60,700","$102,600",55%
192,Building Construction Management,Bachelors,"$61,300","$102,400",63%
193,Engineering Technology (ET),Bachelors,"$58,400","$102,300",47%
194,International Relations,Bachelors,"$52,800","$102,200",49%
195,Management & Finance,Bachelors,"$56,800","$102,200",59%
196,Information Security,Bachelors,"$66,400","$102,200",48%
197,Business Operations,Bachelors,"$63,500","$102,100",-
198,Industrial Management,Bachelors,"$57,800","$102,000",53%
199,Architectural Engineering,Bachelors,"$65,000","$101,900",58%
200,Hotel Administration,Bachelors,"$64,900","$101,900",35%
201,Manufacturing,Bachelors,"$57,600","$101,500",48%
202,Agricultural Economics & Business,Bachelors,"$54,900","$101,400",56%
203,Web Development,Bachelors,"$56,400","$101,300",46%
204,Aviation,Bachelors,"$54,000","$101,200",48%
205,Telecommunications Management,Bachelors,"$55,000","$101,200",42%
206,Property Management,Bachelors,"$55,200","$101,000",47%
207,Comparative Literature,Bachelors,"$48,100","$100,900",46%
208,Construction Science & Management,Bachelors,"$64,700","$100,800",71%
209,Biotechnology,Bachelors,"$53,100","$100,700",59%
210,Industrial & Labor Relations,Bachelors,"$69,800","$100,600",44%
211,Real Estate,Bachelors,"$59,900","$100,600",36%
212,Mechanical Engineering Technology (MET),Bachelors,"$64,200","$100,400",48%
213,Labor Relations,Bachelors,"$53,000","$100,300",41%
214,Electronics,Bachelors,"$57,500","$100,200",63%
215,Biochemistry (BCH),Bachelors,"$50,400","$99,900",62%
216,Politics,Bachelors,"$53,000","$99,900",51%
217,Accounting & Auditing,Bachelors,"$57,800","$99,800",45%
218,Chinese Language,Bachelors,"$54,200","$99,600",43%
219,Information Science (IS),Bachelors,"$66,300","$99,500",36%
220,East Asian Studies,Bachelors,"$49,800","$99,400",42%
221,Accounting & Finance,Bachelors,"$59,200","$99,300",45%
222,Network Security,Bachelors,"$62,300","$99,300",50%
223,Information Technology (IT),Bachelors,"$59,100","$99,200",46%
224,Aviation Management,Bachelors,"$50,900","$99,100",58%
225,Occupational Health and Safety,Bachelors,"$59,900","$99,100",69%
226,Agribusiness,Bachelors,"$50,700","$98,900",53%
227,Business & Marketing,Bachelors,"$51,000","$98,900",45%
228,Computer Engineering Technology (CET),Bachelors,"$63,000","$98,900",47%
229,Computer Security,Bachelors,"$68,100","$98,700",43%
230,Operations & Supply Chain Management,Bachelors,"$61,300","$98,600",45%
231,Entomology,Bachelors,"$45,900","$98,500",-
232,Music Production & Engineering,Bachelors,"$43,100","$98,400",43%
233,Industrial Engineering Technology,Bachelors,"$67,200","$98,400",53%
234,Logistics & Supply Chain Management,Bachelors,"$59,000","$98,300",47%
235,Supply Chain Management,Bachelors,"$61,700","$98,300",41%
236,Accounts,Bachelors,"$59,800","$98,300",44%
237,Economics & Management,Bachelors,"$54,400","$98,200",-
238,Environmental Policy Analysis & Planning,Bachelors,"$51,000","$98,200",65%
239,Physical Therapy,Bachelors,"$55,500","$98,200",88%
240,European History,Bachelors,"$52,300","$98,000",47%
241,Robotics & Automation,Bachelors,"$66,100","$98,000",63%
242,Geological Engineering,Bachelors,"$61,700","$97,900",54%
243,Manufacturing Technology,Bachelors,"$59,900","$97,900",46%
244,Chemistry,Bachelors,"$51,600","$97,500",55%
245,Business Logistics & Transportation,Bachelors,"$56,400","$97,400",44%
246,Food Science & Technology,Bachelors,"$53,100","$97,300",49%
247,City & Regional Planning,Bachelors,"$51,800","$97,200",70%
248,Civil Engineering Technology (CET),Bachelors,"$58,300","$97,200",60%
249,Electronics Engineering Technology (EET),Bachelors,"$64,300","$97,100",50%
250,English & Psychology,Bachelors,"$42,600","$97,100",-
251,Finance & Banking,Bachelors,"$55,300","$97,100",47%
252,Mechanical Design,Bachelors,"$60,900","$97,100",45%
253,Applied Technology,Bachelors,"$55,500","$97,000",62%
254,Marketing & Management,Bachelors,"$50,000","$96,900",45%
255,Technical & Scientific Communication,Bachelors,"$50,700","$96,800",37%
256,Financial Planning,Bachelors,"$54,000","$96,600",63%
257,Organizational Behavior,Bachelors,"$57,000","$96,600",51%
258,Marketing,Bachelors,"$51,700","$96,600",40%
259,Dairy Science,Bachelors,"$51,200","$96,200",68%
260,Project Management,Bachelors,"$56,800","$96,200",58%
261,Government & International Politics (GVIP),Bachelors,"$51,300","$96,100",49%
262,Latin American Studies,Bachelors,"$46,700","$96,100",62%
263,Industrial Design (ID),Bachelors,"$55,100","$95,900",41%
264,Web Design & Development,Bachelors,"$53,100","$95,900",44%
265,Computing & Information Systems (CIS),Bachelors,"$58,100","$95,800",40%
266,Electromechanical Engineering,Bachelors,"$70,500","$95,800",55%
267,Industrial Technology (IT),Bachelors,"$62,200","$95,800",50%
268,Information Technology (IT) & Systems,Bachelors,"$61,100","$95,800",47%
269,Biopsychology,Bachelors,"$53,300","$95,700",74%
270,Government & Politics,Bachelors,"$52,400","$95,700",51%
271,Microbiology & Immunology,Bachelors,"$54,900","$95,400",68%
272,Chemistry & Environmental Science,Bachelors,"$48,200","$95,400",-
273,Interactive Media Design,Bachelors,"$54,000","$95,300",38%
274,Risk Management,Bachelors,"$58,500","$95,300",42%
275,Cell Biology,Bachelors,"$50,100","$95,200",59%
276,Aeronautics,Bachelors,"$62,800","$95,100",64%
277,Welding Engineering Technology,Bachelors,"$74,700","$95,000",42%
278,Finance & Management Information Systems,Bachelors,"$63,900","$94,800",-
279,Computer Science (CS) & Business,Bachelors,"$81,100","$94,600",28%
280,Environmental Science & Policy,Bachelors,"$49,500","$94,500",59%
281,Marketing & Communications,Bachelors,"$49,600","$94,500",45%
282,Safety Management,Bachelors,"$60,100","$94,500",70%
283,Business Technology Management,Bachelors,"$57,400","$94,400",42%
284,Computer Networking Systems,Bachelors,"$55,600","$94,400",49%
285,Biomedical Sciences,Bachelors,"$43,600","$94,300",70%
286,Philosophy,Bachelors,"$52,600","$94,300",41%
287,Sales & Marketing,Bachelors,"$52,700","$94,300",48%
288,Manufacturing Engineering Technology,Bachelors,"$66,000","$94,300",49%
289,Environmental Health & Safety,Bachelors,"$57,600","$94,200",68%
290,Organizational Psychology,Bachelors,"$51,200","$94,100",50%
291,Industrial Psychology,Bachelors,"$50,000","$94,000",50%
292,Political Science,Bachelors,"$50,700","$94,000",47%
293,Real Estate Development,Bachelors,"$57,100","$94,000",-
294,Social Ecology,Bachelors,"$49,000","$93,700",-
295,Risk Management & Insurance,Bachelors,"$59,500","$93,600",46%
296,Radiation Therapy,Bachelors,"$68,400","$93,400",90%
297,French Literature,Bachelors,"$46,400","$93,300",50%
298,Occupational Therapy (OT),Bachelors,"$54,100","$93,300",88%
299,Advertising,Bachelors,"$47,200","$93,200",32%
300,Accounting,Bachelors,"$54,800","$93,100",42%
301,Geology,Bachelors,"$50,400","$93,000",54%
302,Strategic Communication,Bachelors,"$47,100","$93,000",42%
303,Transportation & Logistics Management,Bachelors,"$57,600","$93,000",48%
304,Financial Accounting,Bachelors,"$56,100","$92,900",51%
305,Cell & Molecular Biology,Bachelors,"$51,900","$92,800",68%
306,Industrial Safety,Bachelors,"$55,200","$92,800",78%
307,Insurance,Bachelors,"$56,000","$92,800",43%
308,Manufacturing Management,Bachelors,"$64,000","$92,800",49%
309,Networks & Telecommunications,Bachelors,"$54,300","$92,800",56%
310,Labor Studies,Bachelors,"$46,600","$92,600",49%
311,Digital Media Design,Bachelors,"$46,700","$92,600",31%
312,Advertising & Marketing Communications,Bachelors,"$48,300","$92,600",36%
313,Cinema Studies,Bachelors,"$47,900","$92,500",33%
314,Electronic & Computer Technology,Bachelors,"$63,800","$92,500",58%
315,Marketing Communication,Bachelors,"$45,700","$92,500",39%
316,Construction Technology,Bachelors,"$59,100","$92,400",-
317,Architecture,Bachelors,"$51,000","$92,300",53%
318,Applied Statistics,Bachelors,"$65,900","$92,200",47%
319,Biological Sciences,Bachelors,"$49,300","$92,100",66%
320,Food Science,Bachelors,"$52,500","$92,100",51%
321,Urban & Regional Planning,Bachelors,"$51,800","$92,100",60%
322,Marketing Management,Bachelors,"$51,300","$92,000",42%
323,Computer & Network Administration,Bachelors,"$56,800","$91,900",47%
324,Applied Computer Science,Bachelors,"$66,100","$91,800",44%
325,Sales,Bachelors,"$61,500","$91,600",44%
326,Environmental Design,Bachelors,"$47,700","$91,400",55%
327,Hotel Management,Bachelors,"$49,100","$91,400",44%
328,Advertising Design,Bachelors,"$52,700","$91,300",28%
329,Digital Arts,Bachelors,"$45,600","$91,300",35%
330,Financial Management,Bachelors,"$54,300","$91,300",54%
331,Electronic Systems Technology (EST),Bachelors,"$81,000","$91,200",-
332,Italian Language,Bachelors,"$51,400","$91,100",43%
333,German Studies,Bachelors,"$50,000","$91,000",42%
334,Quality Management,Bachelors,"$57,400","$90,800",60%
335,Microbiology,Bachelors,"$48,400","$90,300",68%
336,Entrepreneurship,Bachelors,"$54,800","$90,300",47%
337,Interactive Media,Bachelors,"$52,700","$90,200",35%
338,Global Business Management,Bachelors,"$55,900","$90,200",52%
339,Network Systems Administration,Bachelors,"$57,900","$90,200",50%
340,Police Science,Bachelors,"$55,400","$90,200",-
341,Hydrology,Bachelors,"$48,700","$90,100",-
342,Business Data Analysis,Bachelors,"$64,700","$90,000",36%
343,Database Management,Bachelors,"$65,900","$90,000",-
344,Spanish Literature,Bachelors,"$51,100","$90,000",50%
345,Business Technology,Bachelors,"$52,800","$89,900",42%
346,Business Management & Marketing,Bachelors,"$48,900","$89,800",48%
347,Technical Management,Bachelors,"$64,400","$89,700",62%
348,Human Biology,Bachelors,"$51,100","$89,600",70%
349,Meteorology,Bachelors,"$46,200","$89,500",57%
350,Computer Graphics Technology (CGT),Bachelors,"$49,000","$89,200",40%
351,Urban Planning,Bachelors,"$50,500","$89,200",53%
352,Aviation Technology,Bachelors,"$58,100","$89,100",49%
353,Environmental Health,Bachelors,"$50,000","$89,100",65%
354,Agricultural Science,Bachelors,"$48,900","$88,900",59%
355,Agronomy,Bachelors,"$50,200","$88,900",65%
356,International Studies,Bachelors,"$50,000","$88,900",51%
357,Design,Bachelors,"$52,800","$88,800",40%
358,Applied Science,Bachelors,"$46,400","$88,700",-
359,Architectural Engineering Technology,Bachelors,"$52,200","$88,700",59%
360,German Language,Bachelors,"$50,700","$88,700",41%
361,Technology,Bachelors,"$56,200","$88,600",64%
362,Advertising & Promotion,Bachelors,"$46,100","$88,500",46%
363,Pre-law,Bachelors,"$46,800","$88,400",45%
364,Digital Media,Bachelors,"$47,300","$88,200",38%
365,Biological Anthropology,Bachelors,"$46,200","$88,100",49%
366,Personal Financial Planning,Bachelors,"$53,800","$88,100",60%
367,Professional Pilot Education,Bachelors,"$63,700","$88,000",-
368,Textile Technology,Bachelors,"$54,000","$88,000",42%
369,Web & Digital Media Development,Bachelors,"$52,300","$88,000",33%
370,Entrepreneurial Studies,Bachelors,"$48,700","$87,900",37%
371,Fashion Design,Bachelors,"$47,500","$87,700",27%
372,Retailing,Bachelors,"$51,300","$87,600",35%
373,Business Communication,Bachelors,"$50,900","$87,300",47%
374,Environmental Science,Bachelors,"$49,100","$87,300",59%
375,Product Design Engineering,Bachelors,"$65,500","$87,200",35%
376,English Literature,Bachelors,"$47,700","$87,000",45%
377,Logistics,Bachelors,"$57,600","$87,000",41%
378,Math & Science,Bachelors,"$55,600","$86,900",66%
379,International Trade & Business,Bachelors,"$54,800","$86,800",27%
380,Pre-Medicine,Bachelors,"$50,800","$86,800",67%
381,Speech & Drama,Bachelors,"$37,500","$86,800",-
382,Toxicology,Bachelors,"$44,600","$86,800",-
383,Advertising & Marketing,Bachelors,"$49,000","$86,700",38%
384,Geographic Information Systems (GIS) & Spatial Analysis,Bachelors,"$54,000","$86,700",57%
385,Marketing & Mass Communications,Bachelors,"$45,400","$86,700",41%
386,Welding Technology,Bachelors,"$48,400","$86,700",-
387,General Business,Bachelors,"$50,200","$86,600",51%
388,Construction Engineering Technology,Bachelors,"$55,800","$86,400",53%
389,Architectural Studies,Bachelors,"$45,400","$86,400",42%
390,Aviation Maintenance Technology,Bachelors,"$51,000","$86,300",60%
391,Communication Studies & Journalism,Bachelors,"$44,800","$86,200",47%
392,Management,Bachelors,"$51,600","$86,200",48%
393,General Science,Bachelors,"$49,100","$86,100",60%
394,Magazine Journalism,Bachelors,"$46,800","$86,100",32%
395,Electronics & Computer Technology,Bachelors,"$55,600","$86,000",-
396,Theatre & Drama Studies,Bachelors,"$44,800","$86,000",49%
397,Animation,Bachelors,"$45,000","$85,900",35%
398,Biology & Chemistry,Bachelors,"$49,200","$85,900",66%
399,Diagnostic Medical Ultrasound,Bachelors,"$67,700","$85,900",67%
400,History & Politics,Bachelors,"$49,500","$85,900",51%
401,Public Affairs,Bachelors,"$52,700","$85,900",50%
402,Romance Languages,Bachelors,"$53,000","$85,900",53%
403,Physiology,Bachelors,"$49,300","$85,900",63%
404,Corporate Communications,Bachelors,"$48,500","$85,700",42%
405,International Affairs,Bachelors,"$51,600","$85,700",52%
406,Nursing Science,Bachelors,"$66,800","$85,700",84%
407,Organizational Development,Bachelors,"$53,800","$85,700",54%
408,Textile & Apparel Studies,Bachelors,"$47,100","$85,700",30%
409,Business Administration,Bachelors,"$52,800","$85,600",50%
410,Business Administration & Accounting,Bachelors,"$52,400","$85,600",55%
411,Philosophy & Religion,Bachelors,"$43,800","$85,600",55%
412,Architectural Design,Bachelors,"$47,700","$85,400",60%
413,Textile Design,Bachelors,"$50,000","$85,200",43%
414,Interpersonal & Organizational Communication,Bachelors,"$42,400","$85,200",56%
415,Geographic Information Systems (GIS),Bachelors,"$50,000","$85,100",52%
416,Business Management,Bachelors,"$51,700","$85,000",51%
417,Linguistics,Bachelors,"$52,100","$84,900",43%
418,French Language,Bachelors,"$49,600","$84,800",47%
419,Communication,Bachelors,"$48,000","$84,700",45%
420,Neuroscience,Bachelors,"$51,800","$84,700",58%
421,Business Management & Human Resources Management (HRM),Bachelors,"$46,800","$84,600",57%
422,Journalism & Mass Communication,Bachelors,"$46,300","$84,600",44%
423,Accounting & Management,Bachelors,"$55,500","$84,500",52%
424,Sociology & Organizational Studies,Bachelors,"$53,500","$84,300",57%
425,Crop Science,Bachelors,"$48,700","$84,200",60%
426,French Studies,Bachelors,"$52,400","$84,200",57%
427,Writing,Bachelors,"$44,200","$84,200",42%
428,Nursing,Bachelors,"$65,000","$84,200",83%
429,History,Bachelors,"$47,800","$84,100",46%
430,Biology,Bachelors,"$47,100","$84,000",65%
431,Land Surveying,Bachelors,"$51,900","$84,000",54%
432,Architectural Technology,Bachelors,"$46,700","$83,900",61%
433,Health Care,Bachelors,"$44,400","$83,900",74%
434,Integrated Marketing Communications,Bachelors,"$47,000","$83,900",36%
435,Agriculture,Bachelors,"$47,700","$83,800",61%
436,Digital Design,Bachelors,"$50,000","$83,600",40%
437,Marketing & Advertising,Bachelors,"$49,300","$83,600",44%
438,Organizational Communication,Bachelors,"$46,400","$83,600",49%
439,Visual Effects & Motion Graphics,Bachelors,"$48,100","$83,400",38%
440,Public Relations & Communication,Bachelors,"$45,700","$83,300",47%
441,General & Strategic Management,Bachelors,"$51,200","$83,300",55%
442,Foreign Languages,Bachelors,"$48,400","$83,100",52%
443,Retail Merchandising,Bachelors,"$50,900","$83,100",31%
444,Agribusiness Management,Bachelors,"$47,700","$83,000",46%
445,Global Business,Bachelors,"$55,800","$83,000",31%
446,Professional & Technical Writing,Bachelors,"$48,500","$83,000",44%
447,Computer Art,Bachelors,"$40,400","$82,900",31%
448,Environmental Management,Bachelors,"$50,200","$82,900",62%
449,Environmental Studies,Bachelors,"$48,500","$82,900",59%
450,Journalism,Bachelors,"$45,900","$82,900",44%
451,Travel Industry Management,Bachelors,"$52,600","$82,900",-
452,International Development Studies,Bachelors,"$47,700","$82,800",64%
453,Natural Sciences,Bachelors,"$45,100","$82,800",55%
454,Retail & Consumer Science,Bachelors,"$51,800","$82,800",32%
